facility_id,facility_code,name,county,district,type,owner,nearest_town,beds,cots,open_24_hours,open_weekends,operational_status,latitude,longitude
62,19185,Athirunjine Runjine Dispensary,Meru,Igembe Central,Dispensary,Ministry of Health,Antubetwe Market,0,0,f,f,Operational,0.05,37.65
63,14220,Atiar Dispensary,Baringo,Baringo North,Dispensary,Community,Kabartonjo,0,0,f,f,Operational,0.466667,35.966667
64,10042,Atlas Medical Clinic,Nyeri,Nyeri South,Medical Clinic,Private Practice - Nurse / Midwife,Othaya Town,0,0,f,f,Operational,-0.416667,36.95
65,16866,Avarende Medical Clinic,Kakamega,Kakamega Central (Lurambi),Medical Clinic,Private Enterprise (Institution),Sichirai Mkt,0,0,f,f,Operational,0.284767,34.752308
66,19462,Avenue Health Care (Makadara),Nairobi,Makadara,Medical Clinic,Private Practice - General Practitioner,Lungalunga,0,0,f,f,Operational,-1.286389,36.817223
67,18817,Avenue Health Care Nakuru,Nakuru,Nakuru,Medical Clinic,Private Practice - General Practitioner,Central Town,0,0,f,f,Operational,-1.286389,36.817223
68,19083,Avenue Health Care Ongata Rongai,Kajiado,Kajiado North,Medical Clinic,Private Practice - General Practitioner,Ongata Rongai,0,0,f,f,Operational,-1.85,36.783333
69,20628,Avenue Healthcare Thika,Kiambu,Thika West,Medical Clinic,Private Practice - General Practitioner,Thika town,0,0,f,f,Operational,-1.286389,36.817223
70,12874,Avenue Hospital,Nairobi,Westlands,Other Hospital,Private Enterprise (Institution),Nairobi,65,10,f,f,Operational,-1.286389,36.817223
71,20123,Avenue Hospital Kisumu,Kisumu,Kisumu East,Other Hospital,Private Enterprise (Institution),Kibuye Market-Kisumu Kakamega Road,70,6,f,f,Operational,-0.10221,34.761711
72,13491,Awasi Mission Health Center,Kisumu,Nyando,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,Awasi,12,1,f,f,Operational,-0.10221,34.761711
73,13492,Awendo Sub-District Hospital,Migori,Awendo,Sub-District Hospital,Ministry of Health,Awendo,35,0,f,f,Operational,-1.066667,34.466667
74,14228,Baragoi Sub-District Hospital,Samburu,Samburu North,Sub-District Hospital,Ministry of Health,Baragoi,30,1,f,f,Operational,1.316667,36.983333
75,11942,Baragu Health Centre,Tharaka Nithi,Maara,Health Centre,Ministry of Health,Chogoria,5,2,f,f,Operational,\N,\N
76,10046,Baragwi Maternity Home,Kirinyaga,Kirinyaga East,Nursing Home,Private Enterprise (Institution),Kianyaga,0,0,f,f,Not-Operational,-0.5,37.283333
77,11943,Baraka Afya Clinic,Embu,Manyatta,Medical Clinic,Private Enterprise (Institution),Ena,0,0,f,f,Operational,-0.533333,37.45
78,18841,Baraka Clinic (Lugari),Kakamega,Lugari,Medical Clinic,Private Practice - Nurse / Midwife,Kipkaren River,1,1,f,f,Not-Operational,0.284767,34.752308
79,18915,Baraka Dental Clinic (Maara),Tharaka Nithi,Maara,Medical Clinic,Private Practice - Medical Specialist,Chogoria,0,0,f,f,Operational,\N,\N
80,12881,Baraka Dispensary (Nairobi),Nairobi,Ruaraka,Dispensary,Private Enterprise (Institution),Nairobi,0,0,f,f,Operational,-1.286389,36.817223
81,17757,Baraka Health Centre,Narok,Narok South,Health Centre,Non-Governmental Organizations,Mulot,2,0,f,f,Operational,-1.286389,36.817223
82,14230,Baraka Maternity Home,Nakuru,Nakuru,Maternity Home,Private Enterprise (Institution),Nakuru Town,25,12,f,f,Operational,-0.303099,36.080026
83,17426,Baraka Medical Clinic,Uasin Gishu,Wareng,Medical Clinic,Other Public Institution,Eldoret,0,0,f,f,Operational,0.514277,35.269779
84,16202,Baraka Medical Clinic (Lamu),Lamu,Lamu East,Medical Clinic,Private Practice - Clinical Officer,Mpeketoni,0,0,f,f,Operational,-2.266667,40.9
85,19306,Baraka Medical Clinic (Makindu),Makueni,Makindu,Medical Clinic,Private Practice - Clinical Officer,Makindu,0,0,f,f,Operational,-1.8,37.616667
86,20260,Baraka Medical Clinic (Mbitini),Kitui,Kisasi,Medical Centre,Private Practice - Nurse / Midwife,Mbitini,4,0,f,f,Operational,-1.366667,38.016667
87,14229,Baraka Medical Clinic (Pokot Central),West Pokot,Pokot South,Medical Clinic,Private Practice - Nurse / Midwife,Ortum,0,0,f,f,Operational,1.016667,34.983333
88,17882,Baraka Medical Clinic (Runyenjes),Embu,Embu East,Medical Clinic,Private Practice - Nurse / Midwife,,0,0,f,f,Operational,-0.533333,37.45
89,16693,Baraka Medical Clinic (Trans Nzoia East),Trans Nzoia,Trans Nzoia East,Medical Clinic,Private Practice - Nurse / Midwife,Kitale,0,0,f,f,Operational,1.016667,34.983333
90,14231,Baraka Medical Clinic (Turkana Central),Turkana,Turkana Central,Medical Clinic,Private Practice - Nurse / Midwife,Lodwar,0,0,f,f,Operational,3.116667,35.6
91,11245,Baraka Medical Clinic (Vikwatani),Mombasa,Kisauni,Medical Clinic,Private Enterprise (Institution),Vikwatani,0,0,f,f,Operational,-4.043477,39.668205
92,17027,Sitatunga Dispensary,Trans Nzoia,Trans Nzoia East,Dispensary,Ministry of Health,Kitale,0,0,f,f,Operational,1.016667,34.983333
